"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_10","IS24T-06XX299-DT","Tue 11/17/2015-18:08:59.60","Tue 11/17/2015-18:23:38.66",1447758539,1447759418,18297,1447758559,1447759473,-20,55,879,914,35
"blast500k_test_pub_fileFULL_gr_100","IS24T-06XX258-DT","Tue 11/17/2015-17:43:44.25","Tue 11/17/2015-17:55:26.88",1447757024,1447757726,18387,1447756994,1447757743,30,17,702,749,47
"blast500k_test_pub_fileFULL_gr_1000","IS24T-06XX293-DT","Tue 11/17/2015-20:59:10.07","Tue 11/17/2015-21:15:05.30",1447768750,1447769705,19287,1447768745,1447769740,5,35,955,995,40
"blast500k_test_pub_fileFULL_gr_1001","IS24T-06XX275-DT","Tue 11/17/2015-20:14:31.35","Tue 11/17/2015-20:31:05.81",1447766071,1447767065,19288,1447766064,1447767096,7,31,994,1032,38
"blast500k_test_pub_fileFULL_gr_1002","IS24T-06XX296-DT","Tue 11/17/2015-20:18:45.76","Tue 11/17/2015-20:37:47.75",1447766325,1447767467,19289,1447766312,1447767494,13,27,1142,1182,40
"blast500k_test_pub_fileFULL_gr_1003","IS24T-06XX266-DT","Tue 11/17/2015-20:12:02.65","Tue 11/17/2015-20:32:12.72",1447765922,1447767132,19290,1447765909,1447767145,13,13,1210,1236,26
"blast500k_test_pub_fileFULL_gr_1004","IS24T-06XX209-DT","Tue 11/17/2015-20:14:38.46","Tue 11/17/2015-20:39:19.18",1447766078,1447767559,19291,1447766098,1447767627,-20,68,1481,1529,48
"blast500k_test_pub_fileFULL_gr_1005","IS24T-06XX255-DT","Tue 11/17/2015-20:21:43.66","Tue 11/17/2015-20:37:27.55",1447766503,1447767447,19292,1447766477,1447767464,26,17,944,987,43
"blast500k_test_pub_fileFULL_gr_1006","IS24T-06XX259-DT","Tue 11/17/2015-20:22:28.28","Tue 11/17/2015-20:32:42.66",1447766548,1447767162,19293,1447766536,1447767175,12,13,614,639,25
"blast500k_test_pub_fileFULL_gr_1007","IS24T-06XX282-DT","Tue 11/17/2015-20:10:43.06","Tue 11/17/2015-20:24:29.47",1447765843,1447766669,19294,1447765826,1447766693,17,24,826,867,41
"blast500k_test_pub_fileFULL_gr_1008","IS24T-06XX286-DT","Tue 11/17/2015-20:25:24.40","Tue 11/17/2015-20:44:57.60",1447766724,1447767897,19295,1447766711,1447767926,13,29,1173,1215,42
"blast500k_test_pub_fileFULL_gr_1009","IS24T-06XX276-DT","Tue 11/17/2015-20:13:16.63","Tue 11/17/2015-20:30:22.40",1447765996,1447767022,19296,1447765985,1447767039,11,17,1026,1054,28
"blast500k_test_pub_fileFULL_gr_101","IS24T-06XX277-DT","Tue 11/17/2015-18:18:35.31","Tue 11/17/2015-18:35:53.04",1447759115,1447760153,18388,1447759090,1447760170,25,17,1038,1080,42
"blast500k_test_pub_fileFULL_gr_1010","IS24T-06XX253-DT","Tue 11/17/2015-20:44:04.76","Tue 11/17/2015-21:01:24.12",1447767844,1447768884,19297,1447767821,1447768901,23,17,1040,1080,40
"blast500k_test_pub_fileFULL_gr_1011","IS24T-06XX296-DT","Tue 11/17/2015-20:13:02.07","Tue 11/17/2015-20:24:22.71",1447765982,1447766662,19298,1447765979,1447766691,3,29,680,712,32
"blast500k_test_pub_fileFULL_gr_1012","IS24T-06XX280-DT","Tue 11/17/2015-20:11:49.66","Tue 11/17/2015-20:24:12.02",1447765909,1447766652,19299,1447766051,1447766835,-142,183,743,784,41
"blast500k_test_pub_fileFULL_gr_1013","IS24T-06XX299-DT","Tue 11/17/2015-20:11:18.44","Tue 11/17/2015-20:25:54.25",1447765878,1447766754,19300,1447765904,1447766810,-26,56,876,906,30
